知開二山平 dyaen 譠
澄開二山平 dhyaen 𤣆
匣合二山平 hoen 湲
心開四先平 sen 先
從開四先平 dzen 前
清開四先平 tsen 千
精開四先平 zen 箋
透開四先平 ten 天
見開四先平 cen 堅
匣開四先平 hen 賢
影開四先平 en 煙
來開四先平 len 蓮
定開四先平 dhen 田
泥開四先平 nen 秊
端開四先平 den 顛
溪開四先平 ken 牽
疑開四先平 qen 妍
明四先平 men 眠
並四先平 bhen 蹁
影合四先平 uen 淵
見合四先平 cuen 涓
曉合四先平 xuen 鋗
幫四先平 ben 邊
匣合四先平 huen 玄
曉開四先平 xen 祆
崇合四先平 jruen 𤜼
心開三仙平 sien 仙
從開三仙平 dzien 錢
清開三仙平 tsien 遷
精開三仙平 zien 煎
日開三仙平 ren 然
以開三仙平 yen 延
章開三仙平 jen 𩜾
見開三A仙平 cien 甄
知開三仙平 dyen 邅
崇開三仙平 jren 潺
書開三仙平 shen 羶
徹開三仙平 tyen 脠
常開三仙平 zhen 鋋
澄開三仙平 dhyen 纏
曉開三B仙平 xyen 嘕
來開三仙平 lien 連
滂三A仙平 pien 篇
並三A仙平 bhien 便
明三A仙平 mien 緜
從合三仙平 dziuen 全
心合三仙平 siuen 宣
精合三仙平 ziuen 鐫
曉合三A仙平 xiuen 翾
日合三仙平 ruen 堧
昌合三仙平 chuen 穿
以合三仙平 yuen 沿
邪合三仙平 sziuen 旋
影合三A仙平 iuen 娟
船合三仙平 djuen 船
幫三A仙平 bien 鞭
邪開三仙平 szien 㳄
清合三仙平 tsiuen 詮
章合三仙平 juen 專
常合三仙平 zhuen 遄
云合三仙平 hiuen 員
莊合三仙平 druen 恮
生合三仙平 sruen 栓
徹合三仙平 tyuen 猭
羣開三B仙平 gyen 乾
溪開三B仙平 kyen 愆
羣合三B仙平 gyuen 權
澄合三仙平 dhyuen 椽
來合三仙平 liuen 攣
溪合三B仙平 kyuen 弮
影開三B仙平 iien 焉
云開三仙平 hien 漹
影合三B仙平 iiuen 𡣬
昌開三仙平 chen 燀
知合三仙平 dyuen 𡰝
見合三B仙平 cyuen 勬
心開四蕭平 seu 蕭
透開四蕭平 teu 祧
端開四蕭平 deu 貂
定開四蕭平 dheu 迢
見開四蕭平 ceu 驍
來開四蕭平 leu 聊
疑開四蕭平 qeu 堯
曉開四蕭平 xeu 膮
影開四蕭平 eu 幺
溪開四蕭平 keu 鄡
心開三宵平 sieu 宵
徹開三宵平 tyeu 超
知開三宵平 dyeu 朝
澄開三宵平 dhyeu 鼂
曉開三B宵平 xyeu 囂
從開三宵平 dzieu 樵
見開三B宵平 cyeu 驕
精開三宵平 zieu 焦
日開三宵平 reu 饒
書開三宵平 sheu 燒
以開三宵平 yeu 遙
常開三宵平 zheu 韶
章開三宵平 jeu 昭
幫三A宵平 bieu 飆
幫三B宵平 byeu 鑣
並三A宵平 bhieu 瓢
明三A宵平 mieu 蜱
明三B宵平 myeu 苗
影開三A宵平 ieu 要
云開三宵平 hieu 鴞
羣開三B宵平 gyeu 喬
清開三宵平 tsieu 鍫
影開三B宵平 iieu 妖
溪開三A宵平 kieu 蹻
昌開三宵平 cheu 怊
滂三A宵平 pieu 𤐫
羣開三A宵平 gieu 翹
來開三宵平 lieu 燎
溪開三B宵平 kyeu 趫
匣開二肴平 heau 肴
見開二肴平 ceau 交
崇開二肴平 jreau 巢
孃開二肴平 nyeau 鐃
生開二肴平 sreau 梢
明二肴平 meau 茅
曉開二肴平 xeau 虓
幫二肴平 beau 包
滂二肴平 peau 胞
溪開二肴平 keau 敲
疑開二肴平 qeau 聱
莊開二肴平 dreau 𦗔
知開二肴平 dyeau 嘲
初開二肴平 treau 䜈
並二肴平 bheau 庖
影開二肴平 eau 䫜
徹開二肴平 tyeau 䫸
來開二肴平 leau 顟
澄開二肴平 dhyeau 䄻
匣開一豪平 hau 豪
見開一豪平 cau 高
來開一豪平 lau 勞
曉開一豪平 xau 蒿
明一豪平 mau 毛
透開一豪平 tau 饕
端開一豪平 dau 刀
心開一豪平 sau 騷
並一豪平 bhau 袍
幫一豪平 bau 襃
定開一豪平 dhau 陶
精開一豪平 zau 糟
疑開一豪平 qau 敖
從開一豪平 dzau 曹
影開一豪平 au 𤏶
泥開一豪平 nau 猱
溪開一豪平 kau 尻
清開一豪平 tsau 操
滂一豪平 pau 㯱
見開一歌平 ca 歌
清開一歌平 tsa 蹉
端開一歌平 da 多
心開一歌平 sa 娑
定開一歌平 dha 駝
從開一歌平 dza 醝
疑開一歌平 qa 莪
透開一歌平 ta 佗
來開一歌平 la 羅
泥開一歌平 na 那
匣開一歌平 ha 何
曉開一歌平 xa 訶
溪開一歌平 ka 珂
影開一歌平 a 阿
見合一歌平 cua 戈
清合一歌平 tsua 遳
端合一歌平 dua 𨹄
心合一歌平 sua 莎
並一歌平 bhua 婆
定合一歌平 dhua 㸰
明一歌平 mua 摩
從合一歌平 dzua 矬
疑合一歌平 qua 訛
透合一歌平 tua 詑
來合一歌平 lua 𩼊
泥合一歌平 nua 捼
幫一歌平 bua 波
滂一歌平 pua 頗
匣合一歌平 hua 和
溪合一歌平 kua 科
影合一歌平 ua 倭
曉合三歌平 xiua 鞾
影合三歌平 iua 𦚢
溪合三歌平 kiua 𩨷
羣開三歌平 gia 伽
溪開三歌平 kia 佉
見開三歌平 cia 迦
清合三歌平 tsiua 脞
精合三歌平 ziua 侳
羣合三歌平 giua 瘸
來合三歌平 liua 𦣛
明二麻平 mea 麻
昌開三麻平 chya 車
書開三麻平 shya 奢
以開三麻平 ya 邪
章開三麻平 jya 遮
精開三麻平 zya 嗟
船開三麻平 djya 蛇
匣合二麻平 hoa 華
見合二麻平 coa 瓜
曉合二麻平 xoa 華
溪合二麻平 koa 誇
孃開二麻平 nyea 拏
見開二麻平 cea 嘉
匣開二麻平 hea 遐
滂二麻平 pea 葩
影開二麻平 ea 鴉
幫二麻平 bea 巴
初開二麻平 trea 叉
生開二麻平 srea 鯊
疑開二麻平 qea 牙
莊開二麻平 drea 樝
澄開二麻平 dhyea 𡨀
邪開三麻平 szya 衺
常開三麻平 zhya 闍
影合二麻平 oa 窊
莊合二麻平 droa 髽
知合二麻平 dyoa 檛
並二麻平 bhea 爬
崇開二麻平 jrea 楂
徹開二麻平 tyea 侘
知開二麻平 dyea 奓
曉開二麻平 xea 煆
溪開二麻平 kea 䶗
從開三麻平 dzya 㚗
日開三麻平 rya 若
心開三麻平 sya 些
知開三麻平 dyya 爹
疑合二麻平 qoa 𣢉
以開三陽平 yang 陽
邪開三陽平 sziang 詳
來開三陽平 liang 良
曉開三陽平 xiang 香
書開三陽平 shang 商
並三陽平 bhiuang 房
章開三陽平 jang 章
昌開三陽平 chang 昌
溪開三陽平 kiang 羌
見開三陽平 ciang 薑
澄開三陽平 dhyang 長
知開三陽平 dyang 張
日開三陽平 rang 穰
幫三陽平 biuang 方
心開三陽平 siang 襄
精開三陽平 ziang 將
初開三陽平 trang 創
明三陽平 miuang 亡
孃開三陽平 nyang 孃
崇開三陽平 jrang 牀
莊開三陽平 drang 莊
常開三陽平 zhang 常
生開三陽平 srang 霜
從開三陽平 dziang 牆
清開三陽平 tsiang 鏘
溪合三陽平 kiuang 匡
云合三陽平 hiuang 王
影開三陽平 iang 央
羣開三陽平 giang 強
徹開三陽平 tyang 𦳝
滂三陽平 piuang 芳
羣合三陽平 giuang 狂
定開一唐平 dhang 唐
來開一唐平 lang 郎
端開一唐平 dang 當
清開一唐平 tsang 倉
見開一唐平 cang 岡
心開一唐平 sang 桑
溪開一唐平 kang 康
曉合一唐平 xuang 荒
匣合一唐平 huang 黃
