並開一歌上 bax 爸
心開一唐平 sang 桑
溪開一唐平 khang 康
曉合一唐平 huang 荒
匣合一唐平 ghuang 黃
見合一唐平 kuang 光
透開一唐平 thang 湯
滂一唐平 phang 滂
影合一唐平 quang 汪
影開一唐平 qang 鴦
曉開一唐平 hang 炕
匣開一唐平 ghang 航
明一唐平 mang 茫
精開一唐平 cang 臧
泥開一唐平 nang 囊
並一唐平 bang 傍
疑開一唐平 ngang 卬
從開一唐平 zang 藏
溪合一唐平 khuang 䯑
幫一唐平 pang 幫
見開二庚平 krang 庚
溪開二庚平 khrang 阬
明二庚平 mrang 盲
匣合二庚平 ghruang 橫
幫二庚平 prang 閍
曉合二庚平 hruang 諻
見合二庚平 kruang 觵
並二庚平 brang 彭
曉開二庚平 hrang 脝
徹開二庚平 thrang 瞠
初開二庚平 chrang 鎗
崇開二庚平 zrang 傖
影開三庚平 qieng 霙
滂二庚平 phrang 磅
並三庚平 bieng 平
見開三庚平 kieng 驚
明三庚平 mieng 明
澄開二庚平 drang 棖
知開二庚平 trang 趟
云合三庚平 yeng 榮
幫三庚平 pieng 兵
曉合三庚平 hyeng 兄
溪開三庚平 khieng 卿
生開三庚平 srieng 生
羣開三庚平 gieng 擎
疑開三庚平 ngieng 迎
匣開二庚平 ghrang 行
孃開二庚平 nrang 鬤
見開二耕平 kreng 耕
溪開二耕平 khreng 鏗
明二耕平 mreng 甍
幫二耕平 preng 浜
匣合二耕平 ghrueng 宏
匣開二耕平 ghreng 莖
知開二耕平 treng 朾
影開二耕平 qreng 甖
崇開二耕平 zreng 崢
初開二耕平 chreng 琤
孃開二耕平 nreng 儜
滂二耕平 phreng 怦
曉合二耕平 hrueng 轟
澄開二耕平 dreng 橙
影合二耕平 qrueng 泓
並二耕平 breng 輣
疑開二耕平 ngreng 娙
莊開二耕平 creng 爭
清開三清平 chieng 清
從開三清平 zieng 情
精開三清平 cieng 精
以開三清平 jeng 盈
以合三清平 jyeng 營
影開三A清平 qjeng 嬰
知開三清平 trieng 貞
徹開三清平 thrieng 檉
常開三清平 zjeng 成
澄開三清平 drieng 呈
書開三清平 sjeng 聲
章開三清平 cjeng 征
溪開三A清平 khjeng 輕
明三A清平 mjeng 名
來開三清平 lieng 跉
幫三A清平 pjeng 并
溪合三A清平 khjyeng 傾
邪開三清平 zsieng 𩛿
影合三A清平 qjyeng 縈
羣合三A清平 gjyeng 瓊
心合三清平 syeng 騂
羣開三A清平 gjeng 頸
曉合三A清平 hjyeng 𧵣
清開四青平 cheng 青
見開四青平 keng 經
匣開四青平 gheng 㓝
定開四青平 deng 庭
端開四青平 teng 丁
曉開四青平 heng 馨
心開四青平 seng 星
滂四青平 pheng 竮
來開四青平 leng 靈
泥開四青平 neng 寧
透開四青平 theng 汀
明四青平 meng 冥
並四青平 beng 瓶
匣合四青平 ghueng 熒
見合四青平 kueng 扃
章開三蒸平 cjing 蒸
常開三蒸平 zjing 承
澄開三蒸平 dring 澂
來開三蒸平 ling 陵
影開三蒸平 qing 膺
並三蒸平 bing 凭
幫三蒸平 ping 冫
