並開一歌上 bax 爸
見合一唐去 kuangh 桄
見開一唐去 kangh 鋼
曉合一唐去 huangh 荒
明一唐去 mangh 漭
影合一唐去 quangh 汪
影開三庚去 qiengh 映
見開三庚去 kiengh 敬
羣開三庚去 giengh 競
溪開三庚去 khiengh 慶
見開二庚去 krangh 更
明三庚去 miengh 命
並三庚去 biengh 病
明二庚去 mrangh 孟
匣合二庚去 ghruangh 蝗
幫三庚去 piengh 柄
云合三庚去 yengh 詠
匣開二庚去 ghrangh 行
影開二庚去 qrangh 瀴
初開三庚去 chriengh 㵾
知開二庚去 trangh 倀
徹開二庚去 thrangh 牚
幫二庚去 prangh 榜
澄開二庚去 drangh 鋥
生開三庚去 sriengh 生
疑開三庚去 ngiengh 迎
並二庚去 brangh 膨
曉開二庚去 hrangh 䛭
影合二庚去 qruangh 𥥈
莊開二耕去 crengh 諍
幫二耕去 prengh 迸
並二耕去 brengh 𠊧
影開二耕去 qrengh 䙬
疑開二耕去 ngrengh 鞕
曉合二耕去 hruengh 轟
見開三A清去 kjengh 勁
清開三清去 chiengh 倩
章開三清去 cjengh 政
書開三清去 sjengh 聖
澄開三清去 driengh 鄭
徹開三清去 thriengh 遉
心開三清去 siengh 性
來開三清去 liengh 令
滂三A清去 phjengh 聘
曉合三A清去 hjyengh 敻
幫三A清去 pjengh 摒
並三A清去 bjengh 偋
從開三清去 ziengh 淨
常開三清去 zjengh 盛
明三A清去 mjengh 詺
溪開三A清去 khjengh 輕
曉開三A清去 hjengh 𣢝
精開三清去 ciengh 精
見開四青去 kengh 徑
泥開四青去 nengh 甯
心開四青去 sengh 腥
匣開四青去 ghengh 脛
定開四青去 dengh 定
端開四青去 tengh 矴
溪開四青去 khengh 罄
透開四青去 thengh 聽
清開四青去 chengh 靘
明四青去 mengh 䒌
影開四青去 qengh 鎣
來開四青去 lengh 零
章開三蒸去 cjingh 證
以開三蒸去 jingh 孕
船開三蒸去 zsjingh 乘
日開三蒸去 njingh 認
影開三蒸去 qingh 應
精開三蒸去 cingh 甑
曉開三蒸去 hingh 興
書開三蒸去 sjingh 勝
澄開三蒸去 dringh 瞪
來開三蒸去 lingh 𩜁
並三蒸去 bingh 凭
昌開三蒸去 chjingh 稱
疑開三蒸去 ngingh 凝
常開三蒸去 zjingh 丞
徹開三蒸去 thringh 覴
羣開三蒸去 gingh 殑
端開一登去 tongh 嶝
從開一登去 zongh 贈
見開一登去 kongh 亙
清開一登去 chongh 蹭
定開一登去 dongh 鄧
明一登去 mongh 懵
幫一登去 pongh 𥦜
並一登去 bongh 倗
來開一登去 longh 踜
精開一登去 congh 增
心開一登去 songh 𡬙
透開一登去 thongh 𤃶
云三尤去 iuh 宥
見三尤去 kiuh 救
澄三尤去 driuh 胄
知三尤去 triuh 晝
書三尤去 sjuh 狩
昌三尤去 chjuh 臭
邪三尤去 zsiuh 岫
曉三尤去 hiuh 齅
章三尤去 cjuh 呪
羣三尤去 giuh 舊
生三尤去 sriuh 𤸃
莊三尤去 criuh 皺
滂三尤去 phiuh 副
初三尤去 chriuh 簉
幫三尤去 piuh 富
徹三尤去 thriuh 畜
來三尤去 liuh 溜
心三尤去 siuh 秀
精三尤去 ciuh 僦
崇三尤去 zriuh 驟
從三尤去 ziuh 就
孃三尤去 nriuh 糅
並三尤去 biuh 復
以三尤去 juh 狖
常三尤去 zjuh 授
日三尤去 njuh 輮
明三尤去 miuh 莓
疑三尤去 ngiuh 鼼
溪三尤去 khiuh 𪖛
清三尤去 chiuh 䞭
匣開一侯去 ghuh 候
溪開一侯去 khuh 寇
明一侯去 muh 茂
滂一侯去 phuh 仆
定開一侯去 duh 豆
端開一侯去 tuh 鬥
泥開一侯去 nuh 槈
心開一侯去 suh 瘶
精開一侯去 cuh 奏
透開一侯去 thuh 透
影開一侯去 quh 漚
見開一侯去 kuh 遘
清開一侯去 chuh 輳
來開一侯去 luh 陋
曉開一侯去 huh 蔻
並一侯去 buh 䏽
疑開一侯去 nguh 偶
從開一侯去 zuh 㔌
影三幽去 qyh 幼
明三幽去 myh 謬
溪三幽去 khyh 䠗
羣三幽去 gyh 𧾻
清開三侵去 chimh 沁
精開三侵去 cimh 浸
日開三侵去 njimh 妊
澄開三侵去 drimh 鴆
章開三侵去 cjimh 枕
羣開三B侵去 gimh 𦧈
見開三B侵去 kimh 禁
孃開三侵去 nrimh 賃
影開三B侵去 qimh 蔭
生開三侵去 srimh 滲
徹開三侵去 thrimh 闖
莊開三侵去 crimh 譖
初開三侵去 chrimh 讖
疑開三B侵去 ngimh 吟
知開三侵去 trimh 揕
來開三侵去 limh 臨
常開三侵去 zjimh 甚
云開三侵去 imh 䫴
書開三侵去 sjimh 深
溪開一覃去 khomh 勘
見開一覃去 komh 紺
匣開一覃去 ghomh 憾
影開一覃去 qomh 暗
透開一覃去 thomh 僋
心開一覃去 somh 俕
清開一覃去 chomh 謲
定開一覃去 domh 醰
疑開一覃去 ngomh 儑
端開一覃去 tomh 馾
泥開一覃去 nomh 妠
來開一覃去 lomh 顲
曉開一覃去 homh 䫲
精開一覃去 comh 篸
溪開一談去 khamh 闞
來開一談去 lamh 濫
透開一談去 thamh 賧
見開一談去 kamh 𪉦
曉開一談去 hamh 𧵊
匣開一談去 ghamh 憨
定開一談去 damh 憺
從開一談去 zamh 暫
端開一談去 tamh 擔
心開一談去 samh 三
以開三鹽去 jemh 豔
常開三鹽去 zjemh 贍
日開三鹽去 njemh 染
影開三A鹽去 qjemh 厭
幫三B鹽去 piemh 窆
疑開三B鹽去 ngiemh 驗
書開三鹽去 sjemh 閃
精開三鹽去 ciemh 𡄑
清開三鹽去 chiemh 壍
來開三鹽去 liemh 殮
徹開三鹽去 thriemh 覘
昌開三鹽去 chjemh 䠨
影開三B鹽去 qiemh 𢜰
從開三鹽去 ziemh 潛
章開三鹽去 cjemh 占
透開四添去 themh 㮇
泥開四添去 nemh 念
端開四添去 temh 店
心開四添去 semh 䃸
定開四添去 demh 磹
見開四添去 kemh 趝
影開四添去 qemh 酓
精開四添去 cemh 僭
從開四添去 zemh 䁮
溪開四添去 khemh 傔
來開四添去 lemh 稴
疑開三嚴去 ngiamh 釅
曉開三嚴去 hiamh 脅
溪開三嚴去 khiamh 㪁
明三凡去 myamh 𦲯
匣開二咸去 ghremh 陷
影開二咸去 qremh 韽
莊開二咸去 cremh 蘸
知開二咸去 tremh 𪉜
溪開二咸去 khremh 歉
澄開二咸去 dremh 𧸖
崇開二咸去 zremh 儳
見開二咸去 kremh 𪉦
孃開二咸去 nremh 諵
疑開二咸去 ngremh 顑
見開二銜去 kramh 鑑
初開二銜去 chramh 懺
莊開二銜去 cramh 覱
生開二銜去 sramh 釤
曉開二銜去 hramh 㒈
並二銜去 bramh 埿
匣開二銜去 ghramh 㽉
崇開二銜去 zramh 鑱
影開二銜去 qramh 𪒠
並三凡去 byamh 梵
滂三凡去 phyamh 汎
見開三嚴去 kiamh 劒
影開三嚴去 qiamh 俺
影一東入 quk 屋
定一東入 duk 獨
見一東入 kuk 穀
匣一東入 ghuk 縠
溪一東入 khuk 哭
透一東入 thuk 禿
端一東入 tuk 豰
心一東入 suk 速
來一東入 luk 祿
曉一東入 huk 嗀
從一東入 zuk 族
清一東入 chuk 瘯
精一東入 cuk 鏃
並一東入 buk 暴
滂一東入 phuk 扑
幫一東入 puk 卜
明一東入 muk 木
幫三東入 piuk 福
並三東入 biuk 伏
生三東入 sriuk 縮
來三東入 liuk 六
澄三東入 driuk 逐
見三東入 kiuk 菊
溪三東入 khiuk 麴
常三東入 zjuk 熟
昌三東入 chjuk 俶
以三東入 juk 育
羣三東入 giuk 驧
清三東入 chiuk 鼀
日三東入 njuk 肉
章三東入 cjuk 粥
書三東入 sjuk 叔
曉三東入 hiuk 蓄
知三東入 triuk 竹
精三東入 ciuk 蹙
初三東入 chriuk 珿
孃三東入 nriuk 朒
莊三東入 criuk 縬
滂三東入 phiuk 蝮
影三東入 qiuk 郁
心三東入 siuk 肅
明三東入 miuk 目
云三東入 iuk 囿
徹三東入 thriuk 蓄
疑三東入 ngiuk 砡
從三東入 ziuk 𣤶
影一冬入 quuk 沃
定一冬入 duuk 毒
端一冬入 tuuk 篤
溪一冬入 khuuk 酷
匣一冬入 ghuuk 鵠
並一冬入 buuk 僕
心一冬入 suuk 洬
見一冬入 kuuk 梏
明一冬入 muuk 瑁
曉一冬入 huuk 熇
泥一冬入 nuuk 褥
精一冬入 cuuk 傶
幫一冬入 puuk 襮
來一冬入 luuk 濼
疑一冬入 nguuk 𤛹
章三鍾入 cjyuk 燭
疑三鍾入 ngyuk 玉
曉三鍾入 hyuk 旭
見三鍾入 kyuk 輂
羣三鍾入 gyuk 局
常三鍾入 zjyuk 蜀
昌三鍾入 chjyuk 觸
日三鍾入 njyuk 辱
書三鍾入 sjyuk 束
以三鍾入 jyuk 欲
澄三鍾入 dryuk 躅
來三鍾入 lyuk 錄
溪三鍾入 khyuk 曲
知三鍾入 tryuk 瘃
精三鍾入 cyuk 足
船三鍾入 zsjyuk 贖
並三鍾入 byuk 幞
清三鍾入 chyuk 促
邪三鍾入 zsyuk 續
心三鍾入 syuk 粟
幫三鍾入 pyuk 䪁
徹三鍾入 thryuk 梀
見二江入 kruk 覺
疑二江入 ngruk 嶽
崇二江入 zruk 浞
莊二江入 cruk 捉
生二江入 sruk 朔
知二江入 truk 斲
幫二江入 pruk 剝
明二江入 mruk 邈
並二江入 bruk 雹
滂二江入 phruk 璞
溪二江入 khruk 㱿
澄二江入 druk 濁
影二江入 qruk 渥
孃二江入 nruk 搦
徹二江入 thruk 逴
來二江入 lruk 犖
匣二江入 ghruk 學
曉二江入 hruk 㕰
初二江入 chruk 娖
章開三眞入 cjit 質
日開三眞入 njit 日
船開三眞入 zsjit 實
澄開三眞入 drit 秩
心開三眞入 sit 悉
影開三A眞入 qjit 一
清開三眞入 chit 七
滂三A眞入 phjit 匹
見開三A眞入 kjit 吉
孃開三眞入 nrit 暱
以開三眞入 jit 逸
溪開三A眞入 khjit 詰
曉開三A眞入 hjit 欯
徹開三眞入 thrit 抶
來開三眞入 lit 栗
知開三眞入 trit 窒
從開三眞入 zit 疾
初開三眞入 chrit 㓼
書開三眞入 sjit 失
精開三眞入 cit 堲
明三A眞入 mjit 蜜
幫三A眞入 pjit 必
羣開三B眞入 git 姞
並三A眞入 bjit 邲
云合三眞入 yt 䫻
生合三眞入 sryt 率
昌開三眞入 chjit 叱
崇開三眞入 zrit 𪗨
明三B眞入 mit 密
並三B眞入 bit 弼
影開三B眞入 qit 乙
疑開三B眞入 ngit 耴
幫三B眞入 pit 筆
知合三眞入 tryt 茁
曉開三B眞入 hit 肸
見開三B眞入 kit 暨
曉合三A眞入 hjyt 獝
船合三眞入 zsjyt 術
見合三A眞入 kjyt 橘
從合三眞入 zyt 崒
以合三眞入 jyt 聿
精合三眞入 cyt 卒
心合三眞入 syt 卹
來合三眞入 lyt 律
徹合三眞入 thryt 黜
澄合三眞入 dryt 朮
昌合三眞入 chjyt 出
清合三眞入 chyt 焌
莊合三眞入 cryt 𠭴
莊開三臻入 crit 櫛
生開三臻入 srit 瑟
崇開三臻入 zrit 𪗨
明三文入 myot 物
幫三文入 pyot 弗
影合三文入 qyot 鬱
見合三文入 kyot 𠀔
溪合三文入 khyot 屈
羣合三文入 gyot 倔
並三文入 byot 佛
曉合三文入 hyot 䬍
云合三文入 yot 䬑
滂三文入 phyot 拂
疑合三文入 ngyot 崛
曉開三欣入 hiot 迄
見開三欣入 kiot 訖
疑開三欣入 ngiot 疙
羣開三欣入 giot 䞘
溪開三欣入 khiot 乞
疑合三元入 ngyat 月
並三元入 byat 伐
云合三元入 yat 越
見合三元入 kyat 厥
影合三元入 qyat 𡡕
羣合三元入 gyat 𧤼
溪合三元入 khyat 闕
幫三元入 pyat 髮
明三元入 myat 韤
曉合三元入 hyat 䬂
影開三元入 qiat 謁
曉開三元入 hiat 歇
見開三元入 kiat 訐
羣開三元入 giat 𢷒
滂三元入 phyat 㤄
疑開三元入 ngiat 钀
明一魂入 muot 沒
透合一魂入 thuot 𣅝
見合一魂入 kuot 骨
並一魂入 buot 勃
端合一魂入 tuot 咄
定合一魂入 duot 突
影合一魂入 quot 𩑦
曉合一魂入 huot 忽
疑合一魂入 nguot 兀
滂一魂入 phuot 䪬
來合一魂入 luot 𠀽
溪合一魂入 khuot 窟
泥合一魂入 nuot 訥
心合一魂入 suot 窣
清合一魂入 chuot 猝
從合一魂入 zuot 捽
匣開一痕入 ghot 麧
匣合一魂入 ghuot 搰
精合一魂入 cuot 卒
匣開一寒入 ghat 曷
曉開一寒入 hat 䫘
端開一寒入 tat 怛
透開一寒入 that 闥
影開一寒入 qat 遏
來開一寒入 lat 剌
溪開一寒入 khat 渴
定開一寒入 dat 達
從開一寒入 zat 嶻
疑開一寒入 ngat 嶭
見開一寒入 kat 葛
心開一寒入 sat 躠
清開一寒入 chat 攃
泥開一寒入 nat 捺
以開一寒入 j'at 䔾
明一寒入 muat 末
疑合一寒入 nguat 枂
從合一寒入 zuat 柮
幫一寒入 puat 撥
精開一寒入 cat 䰖
見合一寒入 kuat 括
溪合一寒入 khuat 闊
匣合一寒入 ghuat 活
定合一寒入 duat 奪
曉合一寒入 huat 豁
影合一寒入 quat 斡
精合一寒入 cuat 繓
滂一寒入 phuat 鏺
透合一寒入 thuat 侻
來合一寒入 luat 捋
端合一寒入 tuat 掇
清合一寒入 chuat 撮
並一寒入 buat 跋
匣開二山入 ghret 黠
莊開二山入 cret 札
並二山入 bret 拔
溪開二山入 khret 𤫶
匣合二山入 ghruet 滑
幫二山入 pret 八
知合二山入 truet 窡
影合二山入 qruet 婠
孃合二山入 nruet 豽
初開二山入 chret 䶪
見合二山入 kruet 劀
見開二山入 kret 戛
影開二山入 qret 軋
生開二山入 sret 殺
明二山入 mret 㑻
曉合二山入 hruet 傄
孃開二山入 nret 痆
疑合二山入 ngruet 𦤙
溪合二山入 khruet 䯇
滂二山入 phret 汃
莊合二山入 cruet 茁
匣開二刪入 ghrat 鎋
影開二刪入 qrat 𪆰
疑開二刪入 ngrat 齾
初開二刪入 chrat 刹
溪開二刪入 khrat 𥴭
曉開二刪入 hrat 瞎
徹開二刪入 thrat 獺
見合二刪入 kruat 刮
匣合二刪入 ghruat 頢
徹合二刪入 thruat 䫄
知合二刪入 truat 鵽
生合二刪入 sruat 刷
疑合二刪入 ngruat 刖
初合二刪入 chruat 䵵
明二刪入 mrat 礣
孃合二刪入 nruat 妠
幫二刪入 prat 捌
見開二刪入 krat 𪈟
崇開二刪入 zrat 𨰉
知開二刪入 trat 哳
日開二刪入 nj'rat 𩭿
心開四先入 set 屑
清開四先入 chet 切
見開四先入 ket 結
精開四先入 cet 節
曉合四先入 huet 血
溪合四先入 khuet 闋
見合四先入 kuet 玦
匣合四先入 ghuet 穴
影合四先入 quet 抉
定開四先入 det 姪
透開四先入 thet 鐵
匣開四先入 ghet 纈
泥開四先入 net 涅
從開四先入 zet 截
疑開四先入 nget 齧
明四先入 met 蔑
幫四先入 pet 㢼
影開四先入 qet 噎
溪開四先入 khet 猰
曉開四先入 het 㚛
滂四先入 phet 撆
並四先入 bet 蹩
端開四先入 tet 窒
來開四先入 let 𥸸
心開三仙入 siet 薛
來開三仙入 liet 列
知開三仙入 triet 哲
羣開三B仙入 giet 傑
日開三仙入 njet 熱
章開三仙入 cjet 晢
船開三仙入 zsjet 舌
常開三仙入 zjet 折
疑開三B仙入 ngiet 孼
明三A仙入 mjet 滅
溪開三B仙入 khiet 朅
幫三A仙入 pjet 鷩
從合三仙入 zyet 絕
精合三仙入 cyet 蕝
心合三仙入 syet 雪
徹合三仙入 thryet 𤿫
以合三仙入 jyet 悅
溪合三A仙入 khjyet 缺
影合三B仙入 qyet 噦
日合三仙入 njyet 爇
書合三仙入 sjyet 說
章合三仙入 cjyet 拙
昌合三仙入 chjyet 歠
知合三仙入 tryet 輟
來合三仙入 lyet 劣
滂三A仙入 phjet 瞥
並三B仙入 biet 別
澄開三仙入 driet 轍
幫三B仙入 piet 䇷
生合三仙入 sryet 㕞
見開三A仙入 kjet 孑
書開三仙入 sjet 設
孃合三仙入 nryet 吶
曉合三A仙入 hjyet 𥄎
影合三A仙入 qjyet 妜
見合三B仙入 kyet 蹶
莊合三仙入 cryet 茁
清合三仙入 chyet 膬
精開三仙入 ciet 𧕾
生開三仙入 sriet 榝
影開三B仙入 qiet 焆
徹開三仙入 thriet 屮
曉開三B仙入 hiet 娎
常合三仙入 zjyet 啜
初合三仙入 chryet 㔍
邪合三仙入 zsyet 㿱
昌開三仙入 chjet 掣
以開三仙入 jet 抴
崇開三仙入 zriet 𨵊
以開三陽入 jak 藥
來開三陽入 liak 略
見開三陽入 kiak 腳
章開三陽入 cjak 灼
書開三陽入 sjak 爍
日開三陽入 njak 若
昌開三陽入 chjak 綽
影開三陽入 qiak 約
溪開三陽入 khiak 卻
疑開三陽入 ngiak 虐
常開三陽入 zjak 妁
徹開三陽入 thriak 㲋
心開三陽入 siak 削
莊開三陽入 criak 斮
精開三陽入 ciak 爵
從開三陽入 ziak 皭
清開三陽入 chiak 鵲
羣開三陽入 giak 噱
影合三陽入 qyak 嬳
並三陽入 byak 縛
曉合三陽入 hyak 䂄
云合三陽入 yak 籰
見合三陽入 kyak 玃
知開三陽入 triak 芍
澄開三陽入 driak 著
溪合三陽入 khyak 躩
羣合三陽入 gyak 戄
孃開三陽入 nriak 逽
滂三陽入 phyak 𩅿
曉開三陽入 hiak 謔
定開一唐入 dak 鐸
明一唐入 mak 莫
來開一唐入 lak 落
透開一唐入 thak 託
精開一唐入 cak 作
清開一唐入 chak 錯
見開一唐入 kak 各
溪開一唐入 khak 恪
疑開一唐入 ngak 咢
滂一唐入 phak 𩔈
影開一唐入 qak 惡
並一唐入 bak 泊
曉開一唐入 hak 𦞦
心開一唐入 sak 索
匣開一唐入 ghak 涸
從開一唐入 zak 昨
幫一唐入 pak 博
泥開一唐入 nak 諾
曉合一唐入 huak 霍
見合一唐入 kuak 郭
影合一唐入 quak 雘
匣合一唐入 ghuak 穫
溪合一唐入 khuak 廓
疑合一唐入 nguak 瓁
來合一唐入 luak 硦
精合一唐入 cuak 㘀
明二庚入 mrak 陌
知開二庚入 trak 磔
並二庚入 brak 白
幫二庚入 prak 伯
羣開三庚入 giek 劇
見開三庚入 kiek 戟
生開三庚入 sriek 𡩡
初開三庚入 chriek 柵
匣合二庚入 ghruak 嚄
莊開二庚入 crak 嘖
崇開二庚入 zrak 齚
溪開三庚入 khiek 隙
疑開二庚入 ngrak 額
疑開三庚入 ngiek 逆
溪開二庚入 khrak 客
影開二庚入 qrak 啞
曉開三庚入 hiek 虩
徹開二庚入 thrak 坼
滂二庚入 phrak 拍
曉開二庚入 hrak 赫
匣開二庚入 ghrak 垎
見開二庚入 krak 格
曉合二庚入 hruak 謋
澄開二庚入 drak 宅
見合二庚入 kruak 虢
影合二庚入 qruak 擭
孃開二庚入 nrak 蹃
溪合二庚入 khruak 𧍕
並三庚入 biek 欂
明二耕入 mrek 麥
匣合二耕入 ghruek 獲
見合二耕入 kruek 蟈
幫二耕入 prek 檗
並二耕入 brek 䌟
崇開二耕入 zrek 賾
莊開二耕入 crek 責
崇合二耕入 zruek 䞰
初開二耕入 chrek 策
溪開二耕入 khrek 礊
曉合二耕入 hruek 剨
匣開二耕入 ghrek 覈
見開二耕入 krek 隔
知開二耕入 trek 摘
影開二耕入 qrek 戹
生開二耕入 srek 栜
滂二耕入 phrek 𢶉
疑開二耕入 ngrek 虉
來開二耕入 lrek 礐
莊合二耕入 cruek 㩇
生合二耕入 sruek 𢷾
羣合二耕入 gruek 𧾛
孃開二耕入 nrek 疒
心開三清入 siek 昔
精開三清入 ciek 積
影開三A清入 qjek 益
以開三清入 jek 繹
書開三清入 sjek 釋
昌開三清入 chjek 尺
常開三清入 zjek 石
章開三清入 cjek 隻
澄開三清入 driek 擲
清開三清入 chiek 皵
邪開三清入 zsiek 席
從開三清入 ziek 籍
並三A清入 bjek 擗
以合三清入 jyek 役
曉合三A清入 hjyek 瞁
幫三A清入 pjek 辟
滂三A清入 phjek 僻
船開三清入 zsjek 麝
幫三B清入 piek 碧
知開三清入 triek 𪐏
徹開三清入 thriek 彳
章合三清入 cjyek 𦳮
清合三清入 chyek 𥄎
心開四青入 sek 錫
見開四青入 kek 激
滂四青入 phek 霹
來開四青入 lek 靂
端開四青入 tek 的
匣開四青入 ghek 檄
疑開四青入 ngek 鷁
定開四青入 dek 荻
透開四青入 thek 逖
精開四青入 cek 績
溪開四青入 khek 燩
泥開四青入 nek 惄
從開四青入 zek 寂
明四青入 mek 覓
並四青入 bek 甓
幫四青入 pek 壁
溪合四青入 khuek 闃
見合四青入 kuek 郹
清開四青入 chek 戚
曉開四青入 hek 赥
曉合四青入 huek 𥍟
章開三蒸入 cjik 職
澄開三蒸入 drik 直
來開三蒸入 lik 力
徹開三蒸入 thrik 敕
知開三蒸入 trik 陟
船開三蒸入 zsjik 食
心開三蒸入 sik 息
常開三蒸入 zjik 寔
書開三蒸入 sjik 識
曉開三蒸入 hik 赩
崇開三蒸入 zrik 崱
羣開三蒸入 gik 極
孃開三蒸入 nrik 匿
初開三蒸入 chrik 測
影開三蒸入 qik 憶
生開三蒸入 srik 色
溪開三蒸入 khik 䩯
見開三蒸入 kik 殛
以開三蒸入 jik 弋
精開三蒸入 cik 即
幫三蒸入 pik 逼
云合三蒸入 yk 域
曉合三蒸入 hyk 洫
滂三蒸入 phik 堛
莊開三蒸入 crik 稄
並三蒸入 bik 愎
疑開三蒸入 ngik 嶷
從開三蒸入 zik 堲
明三蒸入 mik 䁇
昌開三蒸入 chjik 瀷
端開一登入 tok 德
精開一登入 cok 則
來開一登入 lok 勒
透開一登入 thok 忒
溪開一登入 khok 刻
定開一登入 dok 特
曉開一登入 hok 黑
明一登入 mok 墨
從開一登入 zok 賊
心開一登入 sok 塞
幫一登入 pok 北
並一登入 bok 菔
匣合一登入 ghuok 或
見合一登入 kuok 國
影開一登入 qok 餩
匣開一登入 ghok 劾
泥開一登入 nok 䘅
見開一登入 kok 裓
清開一登入 chok 墄
滂一登入 phok 覆
曉合一登入 huok 𢃤
清開三侵入 chip 緝
常開三侵入 zjip 十
章開三侵入 cjip 執
邪開三侵入 zsip 習
從開三侵入 zip 集
日開三侵入 njip 入
影開三A侵入 qjip 揖
書開三侵入 sjip 溼
精開三侵入 cip 㗱
羣開三B侵入 gip 及
澄開三侵入 drip 蟄
知開三侵入 trip 縶
來開三侵入 lip 立
見開三B侵入 kip 急
疑開三B侵入 ngip 岌
溪開三B侵入 khip 泣
心開三侵入 sip 𩎕
生開三侵入 srip 歰
曉開三B侵入 hip 吸
莊開三侵入 crip 戢
影開三B侵入 qip 邑
徹開三侵入 thrip 湁
云開三侵入 ip 煜
以開三侵入 jip 熠
孃開三侵入 nrip 孨
崇開三侵入 zrip 霵
並三B侵入 bip 𪀐
幫三B侵入 pip 鵖
初開三侵入 chrip 㞚
昌開三侵入 chjip 卙
匣開一覃入 ghop 合
見開一覃入 kop 閤
端開一覃入 top 答
心開一覃入 sop 趿
定開一覃入 dop 沓
透開一覃入 thop 錔
從開一覃入 zop 雜
精開一覃入 cop 帀
來開一覃入 lop 拉
泥開一覃入 nop 納
溪開一覃入 khop 溘
影開一覃入 qop 姶
曉開一覃入 hop 欱
疑開一覃入 ngop 𣊡
清開一覃入 chop 䟃
匣開一談入 ghap 盍
來開一談入 lap 臘
端開一談入 tap 㿴
透開一談入 thap 榻
曉開一談入 hap 𣣹
泥開一談入 nap 魶
定開一談入 dap 蹋
心開一談入 sap 𠎷
疑開一談入 ngap 儑
從開一談入 zap 䪞
見開一談入 kap 䫦
溪開一談入 khap 榼
影開一談入 qap 鰪
清開一談入 chap 囃
章開一談入 cj'ap 譫
以開三鹽入 jep 葉
精開三鹽入 ciep 接
書開三鹽入 sjep 攝
常開三鹽入 zjep 涉
來開三鹽入 liep 獵
從開三鹽入 ziep 捷
澄開三鹽入 driep 䐑
影開三B鹽入 qiep 㪑
孃開三鹽入 nriep 聶
昌開三鹽入 chjep 謵
日開三鹽入 njep 讘
章開三鹽入 cjep 讋
清開三鹽入 chiep 妾
徹開三鹽入 thriep 鍤
羣開三B鹽入 giep 衱
知開三鹽入 triep 輒
云開三鹽入 iep 曄
溪開三A鹽入 khjep 𤷾
生開三鹽入 sriep 萐
見開三B鹽入 kiep 𦀖
影開三A鹽入 qjep 魘
透開四添入 thep 怗
匣開四添入 ghep 協
見開四添入 kep 頰
溪開四添入 khep 愜
定開四添入 dep 牒
泥開四添入 nep 苶
心開四添入 sep 燮
來開四添入 lep 㼲
端開四添入 tep 聑
從開四添入 zep 䕹
精開四添入 cep 浹
曉開四添入 hep 弽
匣開二咸入 ghrep 洽
溪開二咸入 khrep 恰
崇開二咸入 zrep 箑
見開二咸入 krep 夾
莊開二咸入 crep 眨
初開二咸入 chrep 插
孃開二咸入 nrep 㘝
曉開二咸入 hrep 䶎
生開二咸入 srep 霎
知開二咸入 trep 劄
影開二咸入 qrep 𨂁
疑開二咸入 ngrep 䀴
徹開二咸入 threp 𥃐
匣開二銜入 ghrap 狎
澄開二銜入 drap 𠗨
影開二銜入 qrap 鴨
見開二銜入 krap 甲
生開二銜入 srap 翣
曉開二銜入 hrap 呷
疑開三嚴入 ngiap 業
曉開三嚴入 hiap 脅
溪開三嚴入 khiap 怯
見開三嚴入 kiap 劫
影開三嚴入 qiap 腌
以開三嚴入 jap 殜
羣開三嚴入 giap 跲
並三凡入 byap 乏
幫三凡入 pyap 法
滂三凡入 phyap 𥎰
孃開三嚴入 nriap 䎎
徹開三嚴入 thriap 𦑣
